,Var1,Freq
175,Airport,0
69,Allerton-Pelham Gardens,0.5208957
177,Annadale-Huguenot-Prince's Bay-Eltingville,0.2436732
193,Arden Heights,0.153232
171,Astoria,0.6706676
155,Auburndale,0.4689615
174,Baisley Park,1.1955793
8,Bath Beach,0.5731637
107,Battery Park City-Lower Manhattan,1.2531328
12,Bay Ridge,0.5452094
153,Bayside-Bayside Hills,0.5140372
36,Bedford,1.1755475
54,Bedford Park-Fordham North,1.203628
150,Bellerose,0.5430596
55,Belmont,1.5087461
10,Bensonhurst East,0.5518619
9,Bensonhurst West,0.4261364
45,Borough Park,0.3587469
126,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0.5043496
145,Briarwood-Jamaica Hills,0.684023
3,Brighton Beach,0.6553951
56,Bronxdale,0.7086101
1,Brooklyn Heights-Cobble Hill,0.8511363
41,Brownsville,1.5303544
38,Bushwick North,1.0320786
39,Bushwick South,1.3151431
143,Cambria Heights,0.7817138
26,Canarsie,0.8623491
14,Carroll Gardens-Columbia Street-Red Hook,1.0400284
91,Central Harlem North-Polo Grounds,1.1228627
95,Central Harlem South,1.3470681
181,Charleston-Richmond Valley-Tottenville,0.2697879
108,Chinatown,1.0633727
52,Claremont-Bathgate,1.4715937
99,Clinton,1.8983951
33,Clinton Hill,1.0875237
60,Co-op City,0.7245395
135,College Point,0.4339022
136,Corona,0.504705
87,Crotona Park East,1.1497642
29,Crown Heights North,1.483072
30,Crown Heights South,0.882574
43,Cypress Hills-City Line,1.1614695
152,Douglas Manor-Douglaston-Little Neck,0.4293688
18,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2.0043536
11,Dyker Heights,0.4069356
61,East Concourse-Concourse Village,1.1133157
138,East Elmhurst,0.7282185
47,East Flatbush-Farragut,0.7615322
159,East Flushing,0.4867051
113,East Harlem North,1.4586951
112,East Harlem South,0.9482557
42,East New York,1.6127278
44,East New York (Pennsylvania Ave),1.5810277
62,East Tremont,1.4759619
104,East Village,1.3369901
46,East Williamsburg,1.5683909
53,Eastchester-Edenwald-Baychester,0.8561457
140,Elmhurst,0.7078583
157,Elmhurst-Maspeth,0.522162
49,Erasmus,1.2962282
128,Far Rockaway-Bayswater,1.0299439
21,Flatbush,0.7231621
27,Flatlands,0.6857433
134,Flushing,0.7869476
76,Fordham South,1.3023998
129,Forest Hills,0.4073488
32,Fort Greene,1.5306501
148,Fresh Meadows-Utopia,0.3685977
154,Ft. Totten-Bay Terrace-Clearview,0.374842
24,Georgetown-Marine Park-Bergen Beach-Mill Basin,0.6638953
151,Glen Oaks-Floral Park-New Hyde Park,0.4681857
131,Glendale,0.576378
103,Gramercy,1.6759348
183,Grasmere-Arrochar-Ft. Wadsworth,0.4873096
7,Gravesend,0.9150186
194,Great Kills,0.2302715
37,Greenpoint,0.9834401
180,Grymes Hill-Clifton-Fox Hills,0.5155503
92,Hamilton Heights,0.9431948
127,Hammels-Arverne-Edgemere,1.1492958
64,Highbridge,1.0576015
124,Hollis,0.7202602
6,Homecrest,0.6873672
97,Hudson Yards-Chelsea-Flatiron-Union Square,2.528175
142,Hunters Point-Sunnyside-West Maspeth,0.8716467
65,Hunts Point,1.8140919
139,Jackson Heights,0.8033236
166,Jamaica,1.4316013
123,Jamaica Estates-Holliswood,0.8257869
20,Kensington-Ocean Parkway,0.4862013
165,Kew Gardens,0.5288924
146,Kew Gardens Hills,0.4525257
68,Kingsbridge Heights,1.1111474
169,Laurelton,0.8313114
110,Lenox Hill-Roosevelt Island,0.4018285
98,Lincoln Square,0.7042604
164,Lindenwood-Howard Beach,0.6430533
70,Longwood,1.3742072
109,Lower East Side,0.6977089
23,Madison,0.5274868
93,Manhattanville,1.1616691
90,Marble Hill-Inwood,0.8002701
182,Mariner's Harbor-Arlington-Port Ivory-Graniteville,0.9483805
141,Maspeth,0.5925498
71,Melrose South-Mott Haven North,1.706817
133,Middle Village,0.389125
100,Midtown-Midtown South,9.3913844
22,Midwood,0.5629538
94,Morningside Heights,0.7841549
72,Morrisania-Melrose,1.2515843
75,Mott Haven-Port Morris,1.3907005
77,Mount Hope,1.1715834
158,Murray Hill,0.370809
102,Murray Hill-Kips Bay,0.9492073
189,New Brighton-Silver Lake,0.6007646
192,New Dorp-Midland Beach,0.4998114
178,New Springville-Bloomfield-Travis,0.5668446
137,North Corona,0.878815
63,North Riverdale-Fieldston-Riverdale,0.5775178
35,North Side-South Side,1.5932277
78,Norwood,1.1936822
149,Oakland Gardens,0.3986191
186,Oakwood-Oakwood Beach,0.2813322
40,Ocean Hill,1.6242028
25,Ocean Parkway South,0.4861573
172,Old Astoria,0.7631281
190,Old Town-Dongan Hills-South Beach,0.3680147
163,Ozone Park,0.9215757
89,park-cemetery-etc-Bronx,15.5410312
51,park-cemetery-etc-Brooklyn,33.8942308
118,park-cemetery-etc-Manhattan,14.4976399
176,park-cemetery-etc-Queens,25.7990868
195,park-cemetery-etc-Staten Island,0
17,Park Slope-Gowanus,0.7891414
80,Parkchester,0.5234396
59,Pelham Bay-Country Club-City Island,0.5164696
81,Pelham Parkway,0.8181246
147,Pomonok-Flushing Heights-Hillcrest,0.5039962
187,Port Richmond,0.9511435
31,Prospect Heights,0.8802386
28,Prospect Lefferts Gardens-Wingate,1.1369368
144,Queens Village,0.6759457
167,Queensboro Hill,0.5050264
170,Queensbridge-Ravenswood-Long Island City,1.2136577
130,Rego Park,0.4109091
161,Richmond Hill,0.8819154
132,Ridgewood,0.751076
88,Rikers Island,2.5254081
122,Rosedale,0.6843729
188,Rossville-Woodrow,0.2909018
50,Rugby-Remsen Village,0.9737548
82,Schuylerville-Throgs Neck-Edgewater Park,0.7309561
4,Seagate-Coney Island,1.4091545
2,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0.7339569
106,SoHo-TriBeCa-Civic Center-Little Italy,2.2541751
83,Soundview-Bruckner,1.1787327
58,Soundview-Castle Hill-Clason Point-Harding Park,1.133829
119,South Jamaica,0.9819878
162,South Ozone Park,0.88699
120,Springfield Gardens North,0.9570088
121,Springfield Gardens South-Brookville,1.0954223
67,Spuyten Duyvil-Kingsbridge,0.9648888
125,St. Albans,0.7299699
191,Stapleton-Rosebank,0.9674273
48,Starrett City,0.6473249
173,Steinway,0.5530499
16,Stuyvesant Heights,1.4472027
117,Stuyvesant Town-Cooper Village,0.3110135
15,Sunset Park East,0.5751469
13,Sunset Park West,0.8137333
185,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,0.3131753
101,Turtle Bay-East Midtown,1.0662699
73,University Heights-Morris Heights,0.8026843
116,Upper East Side-Carnegie Hill,1.140497
96,Upper West Side,0.6668239
66,Van Cortlandt Village,0.7241275
74,Van Nest-Morris Park-Westchester Square,0.9601967
114,Washington Heights North,0.7554336
115,Washington Heights South,0.7247267
5,West Brighton,1.7903309
86,West Concourse,1.6053427
57,West Farms-Bronx River,1.1974522
184,West New Brighton-New Brighton-St. George,1.1052733
105,West Village,1.7935551
84,Westchester-Unionport,0.967871
179,Westerleigh,0.3925295
156,Whitestone,0.479416
79,Williamsbridge-Olinville,1.1381559
34,Williamsburg,0.3472645
19,Windsor Terrace,0.496212
160,Woodhaven,0.6884971
85,Woodlawn-Wakefield,0.8274206
168,Woodside,0.5590048
111,Yorkville,0.4428652
