MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Address,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
1-00011-0014,"26 BEAVER STREET
New York, NY
(40.70497232969126, -74.01193418883679)",FINANCIAL,D4-ELEVATOR,21,1909,51387,1734825,33.76,527744,10.27,1207081,8960000,174.36,1-00026-0014,"37 WALL STREET
New York, NY
(40.70665406188607, -74.0099376939317)",FINANCIAL,D5-ELEVATOR,374,1904,377214,13406186,35.54,4692542,12.44,8713644,64398000,170.72,0.14,1-00071-0001,"156 FRONT STREET
New York, NY
(40.70586265850028, -74.00540511090406)",FINANCIAL,D7-ELEVATOR,66,1930,52969,1788390,33.76,543771,10.27,1244619,9239000,174.42,0.35,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,68,1900,"58,354","2,099,485",35.98,"645,225",11.06,"1,454,260","10,730,000",183.88,0.37
1-00028-0001,"3 HANOVER SQUARE
New York, NY
(40.704855592723256, -74.00984702324092)",FINANCIAL,D0-ELEVATOR,211,1926,239121,7879037,32.95,2647069,11.07,5231968,38899000,162.67,1-00150-0022,"108 DUANE STREET
New York, NY
(40.71563828895876, -74.00629543971309)",CIVIC CENTER,C7-WALK-UP,9,1915,20000,631094,31.55,189039,9.45,442055,7889000,394.45,0.74,1-00144-0026,"142 BROADWAY
New York, NY
(40.87333788079353, -73.91157107750263)",TRIBECA,D5-ELEVATOR,9,1915,20250,549828,27.15,194770,9.62,355058,6186000,305.48,0.84,1-00174-0028,71 FRANKLIN STREET,CIVIC CENTER,D9-ELEVATOR,10,1921,"18,095","606,002",33.49, , ,"606,002","7,575,000",418.62,0.91
1-00064-0008,"53 LIBERTY STREET
New York, NY
(40.70865955001142, -74.00946105325619)",FINANCIAL,D4-ELEVATOR,92,1911,167448,5326521,31.81,1558941,9.31,3767580,28097000,167.8,1-00077-0024,"82 FULTON STREET
New York, NY
(40.70920813644926, -74.00573786005492)",FINANCIAL,D7-ELEVATOR,205,1900,159000,5447340,34.26,1906410,11.99,3540930,26237000,165.01,0.15,1-00065-0010,"9 MAIDEN LANE
New York, NY
(40.70954088560012, -74.00939810071412)",FINANCIAL,D5-ELEVATOR,68,1900,58354,2099485,35.98,645225,11.06,1454260,10730000,183.88,0.05,1-00065-0020,12 JOHN STREET,FINANCIAL,D6-ELEVATOR,20,1900,"31,118","890,618",28.62,"250,756",8.06,"639,862","4,807,000",154.48,0.05
1-00065-0017,"176 BROADWAY
New York, NY
(40.71000853305537, -74.00978480918673)",FINANCIAL,D4-ELEVATOR,83,1927,168176,5541399,32.95,1861708,11.07,3679691,27358000,162.67,1-00097-0033,"234 FRONT STREET
New York, NY
(40.7076073432371, -74.00197869397243)",SOUTHBRIDGE,C1-WALK-UP,8,1900,9826,288295,29.34,,,288295,3604000,366.78,0.38,1-00150-0022,"108 DUANE STREET
New York, NY
(40.71563828895876, -74.00629543971309)",CIVIC CENTER,C7-WALK-UP,9,1915,20000,631094,31.55,189039,9.45,442055,7889000,394.45,0.42,1-00174-0028,71 FRANKLIN STREET,CIVIC CENTER,D9-ELEVATOR,10,1921,"18,095","606,002",33.49, , ,"606,002","7,575,000",418.62,0.6
1-00094-0001,"80 GOLD STREET
New York, NY
(40.71023336356268, -74.00426297192683)",SOUTHBRIDGE,D4-ELEVATOR,1664,1971,2075590,36447360,17.56,18680310,9,17767050,128180000,61.76,1-00341-0058,"410 GRAND STREET
New York, NY
(40.715872112686384, -73.9863214974423)",LOWER EAST SIDE,D6-ELEVATOR,404,1972,225000,2723730,12.11,1579119,7.02,1144611,7280000,32.36,1.05,1-00336-0001,"16 BIALYSTOKER PLACE
New York, NY
(40.71582575645665, -73.98282222046268)",LOWER EAST SIDE,D3-ELEVATOR,128,1982,98052,1957118,19.96,919728,9.38,1037390,7420000,75.67,1.14,1-00460-0001,1 COOPER SQUARE,EAST VILLAGE,D9-ELEVATOR,153,1985,"122,689","2,458,276",20.04,"1,106,655",9.02,"1,351,621","7,725,000",62.96,1.38
1-00100-0026,"138 NASSAU STREET
New York, NY
(40.71134852287901, -74.00630443293335)",SOUTHBRIDGE,D4-ELEVATOR,43,1901,79422,2289736,28.83,935591,11.78,1354145,10168000,128.02,1-00077-0024,"82 FULTON STREET
New York, NY
(40.70920813644926, -74.00573786005492)",FINANCIAL,D7-ELEVATOR,205,1900,159000,5447340,34.26,1906410,11.99,3540930,26237000,165.01,0.14,1-00065-0020,"12 JOHN STREET
New York, NY
(40.709927594072724, -74.00898441258067)",FINANCIAL,D6-ELEVATOR,20,1900,31118,890618,28.62,250756,8.06,639862,4807000,154.48,0.22,1-00026-0014,37 WALL STREET,FINANCIAL,D5-ELEVATOR,374,1904,"377,214","13,406,186",35.54,"4,692,542",12.44,"8,713,644","64,398,000",170.72,0.4
1-00101-0001,"36 PARK ROW
New York, NY
(40.71178919067336, -74.00656523632188)",SOUTHBRIDGE,D4-ELEVATOR,51,1900,111685,3219879,28.83,1315649,11.78,1904230,14298000,128.02,1-00077-0024,"82 FULTON STREET
New York, NY
(40.70920813644926, -74.00573786005492)",FINANCIAL,D7-ELEVATOR,205,1900,159000,5447340,34.26,1906410,11.99,3540930,26237000,165.01,0.19,1-00065-0020,"12 JOHN STREET
New York, NY
(40.709927594072724, -74.00898441258067)",FINANCIAL,D6-ELEVATOR,20,1900,31118,890618,28.62,250756,8.06,639862,4807000,154.48,0.2,1-00026-0014,37 WALL STREET,FINANCIAL,D5-ELEVATOR,374,1904,"377,214","13,406,186",35.54,"4,692,542",12.44,"8,713,644","64,398,000",170.72,0.42
1-00106-0007,"266 WATER STREET
New York, NY
(40.70838975340263, -74.00167292448248)",SOUTHBRIDGE,D0-ELEVATOR,24,1900,41203,1391013,33.76,423155,10.27,967858,7184000,174.36,1-00077-0024,"82 FULTON STREET
New York, NY
(40.70920813644926, -74.00573786005492)",FINANCIAL,D7-ELEVATOR,205,1900,159000,5447340,34.26,1906410,11.99,3540930,26237000,165.01,0.24,1-00071-0001,"156 FRONT STREET
New York, NY
(40.70586265850028, -74.00540511090406)",FINANCIAL,D7-ELEVATOR,66,1930,52969,1788390,33.76,543771,10.27,1244619,9239000,174.42,0.28,1-00065-0020,12 JOHN STREET,FINANCIAL,D6-ELEVATOR,20,1900,"31,118","890,618",28.62,"250,756",8.06,"639,862","4,807,000",154.48,0.39
1-00117-0001,"185 PARK ROW
New York, NY
(40.71288621977595, -74.0011948091113)",CIVIC CENTER,D4-ELEVATOR,880,1960,515425,13751539,26.68,4767681,9.25,8983858,64955000,126.02,1-00163-0021,"67 BAYARD STREET
New York, NY
(40.715521377094944, -73.99819254822904)",CHINATOWN,C7-WALK-UP,28,1945,14200,374596,26.38,157336,11.08,217260,1572000,110.7,0.2,1-00304-0035,"75 CHRYSTIE STREET
New York, NY
(40.717113177086844, -73.99437042960454)",CHINATOWN,C7-WALK-UP,45,1910,26964,745551,27.65,277544,10.29,468007,3373000,125.09,0.44,1-00470-0029,212 GRAND STREET,LITTLE ITALY,D9-ELEVATOR,16,1920,"14,221","379,406",26.68,"131,484",9.25,"247,922","1,793,000",126.08,0.52
1-00134-0025,"258 BROADWAY
New York, NY
(40.71347092286817, -74.00688899225241)",CIVIC CENTER,D4-ELEVATOR,46,1915,88320,2527718,28.62,711859,8.06,1815859,13641000,154.45,1-00065-0020,"12 JOHN STREET
New York, NY
(40.709927594072724, -74.00898441258067)",FINANCIAL,D6-ELEVATOR,20,1900,31118,890618,28.62,250756,8.06,639862,4807000,154.48,0.29,1-00180-0029,"7 HARRISON STREET
New York, NY
(40.71872296351927, -74.00939810071412)",TRIBECA,D9-ELEVATOR,49,1900,33400,634619,19,298271,8.93,336348,2414000,72.28,0.34,1-00173-0027,343 BROADWAY,CIVIC CENTER,D6-ELEVATOR,359,2005,"396,000","14,128,690",35.68,"3,635,867",9.18,"10,492,823","77,529,000",195.78,0.27
