"","ZIP","N_Museums","N_Museums_selected","N_Opera","N_theatre"
"1",0,5,2,1,3
"2",10001,3,1,0,5
"3",10002,3,3,0,5
"4",10003,3,2,1,15
"5",10004,3,3,0,3
"6",10005,1,1,0,1
"7",10006,1,1,0,1
"8",10007,0,0,0,0
"9",10009,0,0,0,3
"10",10010,1,0,0,0
"11",10011,9,3,0,5
"12",10012,5,3,0,7
"13",10013,5,3,0,10
"14",10014,0,0,0,8
"15",10016,3,2,0,3
"16",10017,1,1,0,1
"17",10018,0,0,1,1
"18",10019,4,4,3,17
"19",10021,6,4,1,4
"20",10022,3,1,0,3
"21",10023,1,0,9,3
"22",10024,4,4,0,5
"23",10025,1,1,0,2
"24",10026,0,0,0,0
"25",10027,1,1,0,3
"26",10028,3,3,0,4
"27",10029,2,2,0,2
"28",10031,0,0,0,0
"29",10032,5,2,0,2
"30",10033,1,0,0,0
"31",10034,1,1,1,1
"32",10035,1,1,0,1
"33",10036,4,3,0,48
"34",10037,1,1,0,1
"35",10038,2,2,0,3
"36",10039,0,0,0,0
"37",10040,1,1,0,1
"38",10044,0,0,0,0
"39",10065,0,0,0,0
"40",10069,0,0,0,0
"41",10075,0,0,0,0
"42",10128,5,5,0,5
"43",10151,0,0,0,0
"44",10280,2,2,0,2
"45",10301,4,5,0,5
"46",10304,0,0,0,0
"47",10305,2,2,0,2
"48",10306,1,1,0,1
"49",10307,1,1,0,1
"50",10310,0,0,0,0
"51",10314,0,0,0,0
"52",10453,1,0,0,0
"53",10456,1,1,0,1
"54",10458,0,1,0,1
"55",10460,0,1,0,1
"56",10463,0,0,0,0
"57",10464,1,1,0,1
"58",10467,2,0,0,0
"59",10468,1,0,0,0
"60",10471,2,2,0,2
"61",10472,0,0,0,0
"62",11004,1,1,0,1
"63",11101,3,1,0,2
"64",11102,0,0,0,0
"65",11106,2,3,0,3
"66",11109,0,0,0,0
"67",11201,1,2,2,2
"68",11203,1,1,0,1
"69",11204,0,0,0,0
"70",11205,0,0,0,0
"71",11206,0,0,0,0
"72",11208,0,0,0,0
"73",11209,0,0,0,0
"74",11211,0,0,0,0
"75",11213,2,2,0,2
"76",11214,0,0,0,0
"77",11215,2,0,0,0
"78",11217,1,1,0,1
"79",11218,0,0,0,0
"80",11219,0,0,1,0
"81",11220,0,0,0,0
"82",11221,0,0,0,0
"83",11222,0,0,0,0
"84",11223,0,0,0,0
"85",11224,1,2,0,2
"86",11225,0,1,0,1
"87",11228,0,0,0,0
"88",11229,0,0,0,0
"89",11230,0,0,0,0
"90",11231,1,0,0,0
"91",11234,0,0,0,0
"92",11237,0,0,0,0
"93",11238,1,1,0,1
"94",11252,1,0,0,0
"95",11352,0,0,0,1
"96",11354,2,0,0,0
"97",11361,0,0,0,0
"98",11368,2,2,0,2
"99",11369,0,0,0,0
"100",11374,0,0,0,0
"101",11375,0,0,0,0
"102",11377,0,0,0,0
"103",11379,0,0,0,0
"104",11385,0,0,0,0
"105",11386,1,0,0,0
"106",11412,0,0,0,0
"107",11432,1,1,0,1
"108",11433,0,0,0,0
"109",11691,0,0,0,0
