FIVE GUYS FAMOUS BURGERS AND FRIES,"2 METROTECH,BROOKLYN NY,11201"
FIVE GUYS FAMOUS BURGERS AND FRIES,"138 MONTAGUE ST,BROOKLYN NY,11201"
FIVE GUYS FAMOUS BURGERS AND FRIES,"2865 RICHMOND AVE,STATEN ISLAND NY,10314"
FIVE GUYS FAMOUS BURGERS AND FRIES,"1608 SHORE PKWY,BROOKLYN NY,11214"
FIVE GUYS FAMOUS BURGERS AND FRIES,"56 W 14TH ST,MANHATTAN NY,10011"
FIVE GUYS FAMOUS BURGERS AND FRIES,"316 WEST   34 STREET,MANHATTAN NY,10001"
FIVE GUYS FAMOUS BURGERS AND FRIES,"253 WEST   42 STREET,MANHATTAN NY,10036"
FIVE GUYS FAMOUS BURGERS AND FRIES,"36 WEST   48 STREET,MANHATTAN NY,10036"
FIVE GUYS FAMOUS BURGERS AND FRIES,"43 WEST   55 STREET,MANHATTAN NY,10019"
FIVE GUYS FAMOUS BURGERS AND FRIES,"7325 WOODHAVEN BOULEVARD,QUEENS NY,11385"
FIVE BROTHERS PIZZA PLACE,"2650 CONEY ISLAND AVE,BROOKLYN NY,11223"
FITZGERALD'S PUB,"336 THIRD AVENUE,MANHATTAN NY,10010"
FITZCARALDO,"195 MORGAN AVE,BROOKLYN NY,11237"
FITNESS AND NUTRITION CENTER,"705 MELROSE AVE,BRONX NY,10455"
FIT CAFETERIA (BUILDING D) (8th ave),"227 WEST   27 STREET,MANHATTAN NY,10001"
FISHTAIL,"135 EAST   62 STREET,MANHATTAN NY,10065"
FISHTAG,"222 WEST 79 STREET,MANHATTAN NY,10024"
FISHNET FRESH SEAFOOD,"345 E 98TH ST,BROOKLYN NY,11212"
FISHERMAN'S COVE,"2025 CHURCH AVENUE,BROOKLYN NY,11226"
FISHERMAN'S COVE,"1122 EASTERN PARKWAY,BROOKLYN NY,11213"
FISHERMAN'S COVE,"4 NEWKIRK PLAZA,BROOKLYN NY,11226"
FISHERMAN'S COVE,"2137 NOSTRAND AVE,BROOKLYN NY,11210"
FISHERMAN'S COVE,"218 PARKSIDE AVE,BROOKLYN NY,11226"
FISH NET SEAFOOD,"3814 CHURCH AVE,BROOKLYN NY,11203"
FISH N TING RESTAURANT,"4063 BOSTON ROAD,BRONX NY,10466"
FISH FISH MO FISH,"612 VANDERBILT AVE,BROOKLYN NY,11238"
FISH EYE BAR & GRILL,"5913 FOSTER AVENUE,BROOKLYN NY,11234"
FISH BONE,"4525 CHURCH AVENUE,BROOKLYN NY,11203"
FISH BAR,"237 EAST    5 STREET,MANHATTAN NY,10003"
FISH AND DISH,"1491 BEACH CHANNEL DRIVE,QUEENS NY,11691"
FISH & SHRIMP RESTAURANT SPOT,"2089 AMSTERDAM AVE,MANHATTAN NY,10032"
Fish & Chips,"555 THROOP AVENUE,BROOKLYN NY,11216"
FISH,"280 BLEECKER STREET,MANHATTAN NY,10014"
FIRSTLIVE STUDIO,"219 CENTRAL AVE,BROOKLYN NY,11221"
FIRST TASTE BAKERY,"7508 BROADWAY,QUEENS NY,11373"
FIRST STOP DELI,"406 AVENUE M,BROOKLYN NY,11230"
FIRST STOP,"124 HESTER ST,MANHATTAN NY,10002"
FIRST SERVICE BAR,"11000 ROCKAWAY BOULEVARD,QUEENS NY,11420"
FIRST OASIS,"9218 4 AVENUE,BROOKLYN NY,11209"
FIRST HOT POT,"4345 MAIN ST,QUEENS NY,11355"
FIRST HAND FOOD PRODUCT,"14254 ROOSEVELT AVE,QUEENS NY,11354"
FIRST CHOICE RESTAURANT,"3893A BROADWAY,MANHATTAN NY,10032"
FIRST CHOICE DELI,"8410 JAMAICA AVE,QUEENS NY,11421"
FIROZAS ROTI BAR,"716 BURKE AVENUE,BRONX NY,10467"
FIRESIDE,"21 EAST   52 STREET,MANHATTAN NY,10022"
FIRENZE,"1594 2 AVENUE,MANHATTAN NY,10028"
FIREHOUSE,"522 COLUMBUS AVENUE,MANHATTAN NY,10024"
