"","V1","V2","long","lat"
"1","HOTEL BPM BROOKLYN","139 33RD ST,BROOKLYN NY,11232",-74.0033144,40.6566205
"2","HOT WOK","119 BAY RIDGE AVE,BROOKLYN NY,11220",-74.0314448,40.637591
"3","HOT SICHUAN","130 9TH AVE,MANHATTAN NY,10011",-74.0032498,40.7435243
"4","HOT SHOTZ SPORTS BAR I","6323 AMBOY ROAD,STATEN ISLAND NY,10309",-74.216421,40.523245
"5","HOT POTATO HOUSE","109 ORIENTAL BLVD,BROOKLYN NY,11235",-73.9525395,40.5772028
"6","HOT POT UNDER DE' TREE","2839 FREDERICK DOUGLAS BOULEVARD,MANHATTAN NY,10039",-73.939243,40.8269667
"7","HOT POT JAMAICAN & AMERICAN CUISINE","11632 SPRINGFIELD BOULEVARD,QUEENS NY,11411",-73.7436361,40.6968778
"8","HOT POT HOUSE","13621 41 AVENUE,QUEENS NY,11355",-73.8287759,40.7589117
"9","HOT POT (STE #4)","13620 ROOSEVELT AVENUE,QUEENS NY,11354",-73.8290939,40.759362
"10","HOT POINT POT","13672 ROOSEVELT AVE,QUEENS NY,11354",-73.8274707,40.760001
"11","HOT KITCHEN SICHUAN STYLE","13343 ROOSEVELT AVE,QUEENS NY,11354",-73.832852,40.758869
"12","HOT KITCHEN","104 2 AVENUE,MANHATTAN NY,10003",-73.9881539,40.7273943
"13","HOT KITCHEN","251 E 53RD ST,MANHATTAN NY,10022",-73.9674744,40.7570478
"14","HOT JALAPENO RESTAURANT","219 EAST  116 STREET,MANHATTAN NY,10029",-73.9390074,40.7977471
"15","HOT GINGER ASIAN FUSION","73-32 BELL BLVD,QUEENS NY,11364",-73.7581864,40.7399113
"16","HOT DOG CONCESSION, DUNKIN DONUTS","4 PENN PLZ,MANHATTAN NY,10121",-73.993384,40.75048
"17","HOT DOG CONCESSION, CHICKEN/CELEBRITY CHEF","4 PENN PLZ,MANHATTAN NY,10121",-73.993384,40.75048
"18","HOT DOG CONCESSION","4 PENN PLZ,MANHATTAN NY,10121",-73.993384,40.75048
"19","HOT CLAY OVEN","708 3RD AVE,MANHATTAN NY,10017",-73.9737387,40.75243
"20","HOT CHIX","110 DEKALB AVENUE,BROOKLYN NY,11201",-73.9783091,40.6896283
"21","HOT BIRD","825 ATLANTIC AVENUE,BROOKLYN NY,11238",-73.9667958,40.6818351
"22","HOT BIALYS & BAGELS","11663 QUEENS BOULEVARD,QUEENS NY,11375",-73.850384,40.7246563
"23","HOT BAGELS & MORE","758 ARTHUR KILL RD,STATEN ISLAND NY,10312",-74.166282,40.5597809
"24","HOT BAGELS & MORE","758 ARTHUR KILL ROAD,STATEN ISLAND NY,10312",-74.166282,40.5597809
"25","HOT BAGELS","4706 AVENUE N,BROOKLYN NY,11234",-73.9294392,40.6186095
"26","HOT BAGELS","7905 METROPOLITAN AVENUE,QUEENS NY,11379",-73.8740029,40.7132343
"27","HOT BAGELS","1594 ROCKAWAY PARKWAY,BROOKLYN NY,11236",-73.8992707,40.6419569
"28","HOT & TASTY","12010 QUEENS BOULEVARD,QUEENS NY,11415",-73.829897,40.7135219
"29","HOT & CRUSTY BAKERY","84 EAST   42 STREET,MANHATTAN NY,10017",-73.9773321,40.7519642
"30","HOT & CRUSTY BAGELS CAFE","1276 LEXINGTON AVENUE,MANHATTAN NY,10028",-73.9559791,40.779291
"31","HOT & CRUSTY","2393 BROADWAY,MANHATTAN NY,10024",-73.9758531,40.7895403
"32","HOT & CRUSTY","16 COBBLEFIELD LN,Missing NY,10605",-73.7419017,41.0112762
"33","HOSTOS COMMUNITY COLLEGE","500 GRAND CONCOURSE,BRONX NY,10451",-73.9269083,40.8180611
"34","HORUS TOO","416 WEST   46 STREET,MANHATTAN NY,10036",-73.9918924,40.7612141
"35","HORUS KABAB HOUSE","93 AVENUE B,MANHATTAN NY,10009",-73.9813399,40.7244757
"36","HORUS GRILL","722 KINGS HIGHWAY,BROOKLYN NY,11223",-73.9648848,40.6061687
"37","HORUS CAFE","293 EAST   10 STREET,MANHATTAN NY,10009",-73.9819692,40.7279092
"38","HORNADO ECUATORIANO","7618 ROOSEVELT AVENUE,QUEENS NY,11372",-73.8799076,40.7480782
"39","HORIZON BAKERY CAFE","0 JFK INTL AIRPORT,QUEENS NY,11430",-73.7781391,40.6413111
"40","HORCHATA","470 AVENUE OF THE AMERICAS,MANHATTAN NY,10011",-73.9977961,40.7355572
"41","HOPS HILL","886 FULTON ST,BROOKLYN NY,11238",-73.9656313,40.6830342
"42","HOPHAP","204 SMITH STREET,BROOKLYN NY,11201",-73.9920496,40.6847411
"43","HOPE GARAGE","163 HOPE STREET,BROOKLYN NY,11211",-73.951627,40.7116629
"44","HOPE & ANCHOR","347 VAN BRUNT STREET,BROOKLYN NY,11231",-74.012924,40.6771451
"45","HOP WONG RESTAURANT","1791 MONROE AVE,BRONX NY,10457",-73.9067211,40.8466146
"46","HOP WON EXPRESS","139 E 45TH ST,MANHATTAN NY,10017",-73.973911,40.7532719
"47","HOP SHING RESTAURANT","9 CHATHAM SQUARE,MANHATTAN NY,10038",-73.998068,40.7140236
"48","HOP LEE RESTARANT","16 MOTT STREET,MANHATTAN NY,10013",-73.9984927,40.7142315
"49","HOP LEE KITCHEN","992 MANHATTAN AVENUE,BROOKLYN NY,11222",-73.9544931,40.7329212
"50","HOP KEE RESTAURANT","21 MOTT STREET,MANHATTAN NY,10013",-73.9990337,40.7143954
"51","HOP FA BAKERY","6512 BAY PARKWAY,BROOKLYN NY,11204",-73.981942,40.613683
"52","HOP BO PALACE","10119 QUEENS BOULEVARD,QUEENS NY,11375",-73.8478423,40.7225612
"53","HOOTERS","61-09 190TH ST,QUEENS NY,11365",-73.7845453,40.7407368
"54","HOOTERS","155 W 33RD ST,MANHATTAN NY,10001",-73.990454,40.750295
"55","HOOMOOS ASLI","100 KENMARE STREET,MANHATTAN NY,10012",-73.9972564,40.7210276
"56","HOOK CAFE","300 WESTERN AVENUE,STATEN ISLAND NY,10303",-74.182461,40.6338299
"57","HONKY TONK TAVERN","1154 1 AVENUE,MANHATTAN NY,10065",-73.9597605,40.7622003
"58","HONK KONG BOY RESTAURANT","6201 8TH AVE,BROOKLYN NY,11220",-74.010583,40.6341139
"59","HONG LI CHINESE FOOD TAKE OUT","1821 PITKIN AVENUE,BROOKLYN NY,11212",-73.9057007,40.6706582
"60","HONG KONG STREET CART","230 PARK AVE,MANHATTAN NY,10169",-73.9761194,40.7543951
"61","HONG KONG RESTAURANT","10259 JAMAICA AVENUE,QUEENS NY,11418",-73.843221,40.695427
"62","HONG KONG RESTAURANT","2307 STEINWAY ST,QUEENS NY,11105",-73.9082913,40.7706167
"63","HONG KONG RESTAURANT","1811 WILLIAMSBRIDGE ROAD,BRONX NY,10461",-73.8518311,40.8504655
"64","HONG KONG NOODLES","174 LEXINGTON AVE,MANHATTAN NY,10016",-73.9814363,40.7443808
"65","HONG KONG KITCHEN","649 ALLERTON AVENUE,BRONX NY,10467",-73.868991,40.865648
"66","HONG KONG KITCHEN","2510 BROADWAY,QUEENS NY,11106",-73.9282527,40.7630667
"67","HONG KONG KITCHEN","214 EAST  198 STREET,BRONX NY,10458",-73.8904484,40.8696601
"68","HONG KONG KITCHEN","8446 ELIOT AVENUE,QUEENS NY,11379",-73.8733157,40.7275441
"69","HONG KONG KITCHEN","10916 MERRICK BLVD,QUEENS NY,11433",-73.7842412,40.6967814
