,NAME,the_geom,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP,Star,review,Rating,closing,rates,specials
1,Alexander Hamilton U.S. Custom House,POINT (-74.01375579519738 40.703816216918035),(212) 514-3700,http://www.oldnycustomhouse.gov/,1 Bowling Grn,,New York,10004,4.0,1,4.0 star rating,,,
2,Alice Austen House Museum,POINT (-74.06303178855111 40.615120837755356),(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd,,Staten Island,10305,4.5,12,4.5 star rating,,,
3,American Folk Art Museum,POINT (-73.97810302110001 40.76162497138548),(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street,,New York,10019,4.0,56,4.0 star rating,Closed: Monday,"admission: $9; seniors/students, $7; under 12, free",Pay-what-you-wish: Friday after 5:30pm; refreshments and music available
4,American Museum of Natural History,POINT (-73.97364816377815 40.78082623457644),(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street,,New York,10024,4.0,1391,4.0 star rating,Closed: Thanksgiving Day and Christmas Day,"suggested admission: $16; seniors/students, $12; kids 2&ndash;12, $9; under 2, free",character(0)
5,Anne Frank Center USA,POINT (-73.99963036903092 40.721127449476676),(212) 431-7993,http://www.annefrank.com/,38 Crosby Street,5th Floor,New York,10012,3.0,2,3.0 star rating,,,
6,Bartow-Pell Mansion,POINT (-73.80557949995756 40.87177831678272),(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road,Pelham Bay Park,Bronx,10464,4.0,12,4.0 star rating,,,
7,Bronx Museum of the Arts (BXMA),POINT (-73.91975017724828 40.83102977992849),(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse,,Bronx,10456,4.0,36,4.0 star rating,"Closed: Monday through Wednesday and New Year's Day, Thanksgiving Day and Christmas Day","admission: $5; seniors/students, $3; children, free",Pay-what-you-wish: Friday (excluding groups); refreshments available
8,Bronx Zoo,,(718)-367-1010,http://bronxzoo.com/,2300 Southern Blvd,,Bronx,10460,4.0,583,4.0 star rating,"Closed: New Year's Day, Martin Luther King Jr. Day, Thanksgiving Day and Christmas Day","admission: $15; seniors, $13; children 3&ndash;12, $11; under 2, free",Pay-what-you-wish: Wednesday (excluding special exhibitions/rides)
9,Brooklyn Botanic Garden,,(718)-623-7200,http://www.bbg.org/,990 Washington Ave,,Brooklyn,11225,4.5,493,4.5 star rating,Closed: Monday (except federal holidays),"admission: $8; seniors/students, $4; under 12, free",Free: Tuesday through Saturday from 10am to noon (excluding major public programs)
10,Brooklyn Children's Museum,POINT (-73.94401601383748 40.67450699609931),(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue,,Brooklyn,11213,4.0,95,4.0 star rating,"Closed: Monday (June 29&ndash;September 4, 2010); Monday and Tuesday (September 5, 2010&ndash;June 28, 2011)",admission: $7.50,character(0)
11,Brooklyn Historical Society,POINT (-73.99240540393131 40.694802974910445),(718) 222-4111,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street,,Brooklyn,11201,4.0,19,4.0 star rating,,,
12,Brooklyn Museum,POINT (-73.96358506797661 40.67108321212629),(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway,,Brooklyn,11238,4.5,419,4.5 star rating,"Closed: Monday and Tuesday and New Year's Day, Thanksgiving Day and Christmas Day","suggested contribution: $10; seniors/students, $6; under 12, free",Target-sponsored free admission: First Saturday of each month from 5 to 11pm
13,Center For Jewish History,POINT (-73.99386877223978 40.737986764588406),(212) 294-8301,http://www.cjh.org,15 W. 16th St.,,New York,10011,4.0,3,4.0 star rating,,,
14,Children's Museum of Manhattan,POINT (-73.97727391968168 40.78587092106756),(212) 721-1234,http://www.cmom.org/,212 West 83rd Street,,New York,10024,3.0,111,3.0 star rating,Closed: Monday,"admission: $10; seniors, $7; under 1, free",Target-sponsored free admission: First Friday of each month from 5 to 8pm
15,Children's Museum of the Arts,POINT (-73.99883836090484 40.72074946881006),(212) 274-0986,http://cmany.org/intro.php?pn=home,182 Lafayette Street,,New York,10012,3.5,42,3.5 star rating,,,
16,Cloisters,POINT (-73.93173408706043 40.86492363574811),(212) 923-3700,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive,,New York,10040,4.5,435,4.5 star rating,"Closed: Monday and New Year's Day, Thanksgiving Day and Christmas Day","suggested admission: $20; seniors, $15; students, $10; under 12, free (admission includes same-day entry to The Metropolitan Museum of Art)",character(0)
17,Coney Island Museum,POINT (-73.97985598415269 40.57526324252061),(718) 372-5159,http://www.coneyisland.com/,1208 Surf Ave,,Brooklyn,11224,3.5,15,3.5 star rating,,,
18,"Cooper-Hewitt, National Design Museum",POINT (-73.95778161975461 40.78432573993682),(212) 849-8400,http://www.cooperhewitt.org/,2 East 91st Street,,New York,10128,4.0,112,4.0 star rating,"Closed: New Year's Day, Thanksgiving Day and Christmas Day","admission: $15; seniors/students, $10; under 12, free",character(0)
19,Dahesh Museum,POINT (-73.97304190142106 40.76210697296256),(212) 759-0606,http://www.daheshmuseum.org,580 Madison Avenue,,New York,10022,4.0,1,4.0 star rating,,,
20,Discovery Times Square Exposition,POINT (-73.98731863959442 40.757501085511855),(866) 987-9692,http://www.discoverytsx.com/nyc/,226 W 44th St,,New York,10036,3.5,261,3.5 star rating,,,
21,Drawing Center,POINT (-74.00290417204171 40.72245118852784),(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,35 Wooster St.,,New York,10013,4.0,6,4.0 star rating,,,
22,Dyckman Farmhouse,POINT (-73.92383914748758 40.86713092093551),(212) 304-9422,http://www.dyckmanfarmhouse.org/,4881 Broadway,,New York,10034,4.0,11,4.0 star rating,,,
23,El Museo del Barrio,POINT (-73.95136760111666 40.793098920789426),(212) 831-7272,http://www.elmuseo.org/,1230 Fifth Ave,,New York,10029,3.5,62,3.5 star rating,"Closed: Monday and Tuesday and New Year's Day, Fourth of July, Thanksgiving Day and Christmas Day","admission: $9; seniors/students, $5; members/under 12, free",Free: Wednesday (for seniors)
24,Ellis Island Museum,POINT (-74.04132161794243 40.69820755330298),(212) 363-3200,http://www.ellisisland.org/,Ellis Island,,New York,0,4.0,49,4.0 star rating,,,
25,Fraunces Tavern Museum,POINT (-74.01133926317924 40.703399275987856),(212) 425-1778,http://www.frauncestavernmuseum.org/,54 Pearl Street,,New York,10004,4.0,18,4.0 star rating,,,
26,Frick Collection,POINT (-73.96708040539806 40.77105465350546),(212) 288-0700,http://www.frick.org/,1 E. 70th Street,,New York,10021,4.5,361,4.5 star rating,Closed: Monday,"admission: $18; seniors, $12; students, $5; under 10 not admitted",Pay-what-you-wish: Sunday from 11am to 1pm
27,Garibaldi-Meucci Museum,POINT (-74.07387774290744 40.6151652240151),(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue,,Staten Island,10305,5.0,2,5.0 star rating,,,
28,Goethe-Institut New York,POINT (-73.96174204015233 40.77916564085246),(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue,,New York,10028,5.0,2,5.0 star rating,,,
29,Gracie Mansion,POINT (-73.9430684626868 40.77611345003038),(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,Carl Schurz Park,New York,10128,4.5,19,4.5 star rating,,,
30,"Guggenheim Museum, Solomon R.",,(212)-423-3500,http://www.guggenheim.org/guggenheim-foundation/architecture/new-york,1071 Fifth Ave,,New York,10128,3.5,2,3.5 star rating,Closed: Thursday,"admission: $18; seniors/students, $15; under 12, free",Pay-what-you-wish: Saturday from 5:45 to 7:45pm; refreshments available
31,Hispanic Society of America Museum,POINT (-73.94682282230515 40.833452146758084),(212) 926-2234,http://www.hispanicsociety.org/,613 West 155th Street,,New York,10032,4.5,22,4.5 star rating,,,
