zip,number,city,state,latitude,longitude
10001,446,New York,NY,40.750742,-73.99653
10002,467,New York,NY,40.71704,-73.987
10003,687,New York,NY,40.732509,-73.98935
10004,142,New York,NJ,40.699226,-74.04118
10005,67,New York,NY,40.706019,-74.00858
10006,43,New York,NY,40.707904,-74.01342
10007,135,New York,NY,40.714754,-74.00721
10009,307,New York,NY,40.727093,-73.97864
10010,258,New York,NY,40.739022,-73.98205
10011,468,New York,NY,40.741012,-74.00012
10012,409,New York,NY,40.72596,-73.99834
10013,480,New York,NY,40.720666,-74.00526
10014,439,New York,NY,40.734718,-74.00532
10015,1,New York,NY,40.780751,-73.977182
10016,456,New York,NY,40.74618,-73.97759
10017,342,New York,NY,40.752159,-73.97231
10018,343,New York,NY,40.755101,-73.99337
10019,665,New York,NY,40.765714,-73.9856
10020,43,New York,NY,40.758667,-73.98024
10021,152,New York,NY,40.76842,-73.96045
10022,461,New York,NY,40.759015,-73.96732
10023,194,New York,NY,40.776099,-73.98285
10024,199,New York,NY,40.786387,-73.97709
10025,239,New York,NY,40.798502,-73.96811
10026,78,New York,NY,40.802853,-73.95471
10027,174,New York,NY,40.812665,-73.95499
10028,209,New York,NY,40.776777,-73.9541
10029,212,New York,NY,40.791586,-73.94575
10030,44,New York,NY,40.818151,-73.94351
10031,108,New York,NY,40.826201,-73.94879
10032,119,New York,NY,40.840686,-73.94154
10033,118,New York,NY,40.848764,-73.93496
10034,106,New York,NY,40.867653,-73.92
10035,87,New York,NY,40.802395,-73.93359
10036,605,New York,NY,40.759511,-73.99019
10037,34,New York,NY,40.813385,-73.93616
10038,192,New York,NY,40.709677,-74.00365
10039,34,New York,NY,40.826181,-73.9371
10040,76,New York,NY,40.858704,-73.92853
10044,8,New York,NY,40.762174,-73.94917
10048,1,New York,NY,40.712086,-74.01227
10055,1,New York,NY,40.780751,-73.977182
10065,179,New York,NY,40.76,-73.96
10069,4,New York,NY,40.775477,-73.9905
10075,97,New York,NY,40.77,-73.95
10103,2,New York,NY,40.760915,-73.97785
10104,4,New York,NY,40.760943,-73.979908
10105,3,New York,NY,40.762808,-73.978534
10106,2,New York,NY,40.765243,-73.980438
10107,1,New York,NY,40.766429,-73.982728
10110,1,New York,NY,40.753987,-73.980811
10111,5,New York,NY,40.759235,-73.97775
10112,19,New York,NY,40.759291,-73.97979
10118,7,New York,NY,40.748998,-73.986467
10119,19,New York,NY,40.750824,-73.99289
10121,57,New York,NY,40.74964,-73.991889
10123,2,New York,NY,40.751489,-73.990537
10128,157,New York,NY,40.781894,-73.95039
10153,3,New York,NY,40.763742,-73.97268
10154,1,New York,NY,40.757986,-73.97267
10155,1,New York,NY,40.761104,-73.968036
10165,1,New York,NY,40.752354,-73.9789
10166,1,New York,NY,40.754591,-73.976238
10167,3,New York,NY,40.754862,-73.97495
10168,4,New York,NY,40.751933,-73.976794
10169,23,New York,NY,40.754463,-73.97606
10170,2,New York,NY,40.752859,-73.97608
10171,3,New York,NY,40.756099,-73.97401
10172,1,New York,NY,40.755494,-73.97447
10173,1,New York,NY,40.754302,-73.97955
10174,3,New York,NY,40.751656,-73.97516
10175,1,New York,NY,40.754305,-73.979782
